id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
10974,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.488125,17,1.64678E+12,38,FALSE,12,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.400118858,0.400118858,0.088006142,0.400118858,TRUE,0.088006142,0.457201443
10975,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.498125,1,1.64678E+12,1,TRUE,13,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.487299454,0.487299454,0.010825546,0.512700546,TRUE,-0.010825546,0.49427481
10976,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64678E+12,line,768,1366,0.3490625,15,1.64678E+12,98,FALSE,3,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.285181501,0.285181501,0.063880999,0.285181501,TRUE,0.063880999,0.333900658
10977,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.663125,19,1.64678E+12,133,TRUE,14,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.743395282,0.743395282,-0.080270282,0.256604718,FALSE,0.080270282,0.742080674
10978,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.753125,14,1.64678E+12,73,TRUE,15,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.706750809,0.706750809,0.046374191,0.293249191,TRUE,-0.046374191,0.697601992
10979,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64678E+12,line,768,1366,0.3990625,16,1.64678E+12,108,FALSE,4,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.374941292,0.374941292,0.024121208,0.374941292,TRUE,0.024121208,0.381446416
10980,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.458125,18,1.64678E+12,51,TRUE,16,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.435755002,0.435755002,0.022369998,0.564244998,TRUE,-0.022369998,0.381985364
10981,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.468125,1,1.64678E+12,3,TRUE,17,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.487299454,0.487299454,-0.019174454,0.512700546,FALSE,0.019174454,0.439248406
10982,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64678E+12,line,768,1366,0.3090625,19,1.64678E+12,134,FALSE,5,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.256604718,0.256604718,0.052457782,0.256604718,TRUE,0.052457782,0.286171031
10983,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.543125,17,1.64678E+12,39,TRUE,18,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.599881142,0.599881142,-0.056756142,0.400118858,FALSE,0.056756142,0.542798557
10984,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.523125,2,1.64678E+12,15,TRUE,19,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.571293782,0.571293782,-0.048168782,0.428706218,FALSE,0.048168782,0.514194227
10985,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64679E+12,line,864,1536,0.493125,1,1.64678E+12,2,FALSE,20,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.512700546,0.512700546,-0.019575546,0.512700546,FALSE,-0.019575546,0.560751594
10986,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64679E+12,line,768,1366,0.4390625,13,1.64678E+12,60,FALSE,6,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.433926927,0.433926927,0.005135573,0.433926927,TRUE,0.005135573,0.444505787
10987,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64679E+12,line,768,1366,0.4340625,17,1.64679E+12,38,FALSE,7,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.400118858,0.400118858,0.033943642,0.400118858,TRUE,0.033943642,0.457201443
10988,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64679E+12,line,864,1536,0.463125,13,1.64679E+12,62,FALSE,21,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.433926927,0.433926927,0.029198073,0.433926927,TRUE,0.029198073,0.495193096
10989,3LEIZ60CDKZAGCKU95O0G2OWRDK9ZK,1.64679E+12,line,768,1366,0.4790625,2,1.64679E+12,12,FALSE,8,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.428706218,0.428706218,0.050356282,0.428706218,TRUE,0.050356282,0.427306675
