id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
18604,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.5140625,3,1.64731E+12,29,TRUE,44,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.59847931,0.59847931,-0.08441681,0.40152069,FALSE,0.08441681,0.587413672
18605,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4990625,1,1.64731E+12,5,TRUE,45,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.487299454,0.487299454,0.011763046,0.512700546,TRUE,-0.011763046,0.49427481
18606,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4640625,3,1.64731E+12,28,FALSE,46,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.40152069,0.40152069,0.06254181,0.40152069,TRUE,0.06254181,0.412586328
18607,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.4490625,16,1.64731E+12,113,TRUE,47,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.625058708,0.625058708,-0.175996208,0.374941292,FALSE,0.175996208,0.618553584
18608,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.64731E+12,point,969,1920,0.6940625,2,1.64731E+12,19,TRUE,48,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.571293782,0.571293782,0.122768718,0.428706218,TRUE,-0.122768718,0.514194227
18609,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.5440625,16,1.64731E+12,115,TRUE,1,"0,0.4","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.625058708,0.625058708,-0.080996208,0.374941292,FALSE,0.080996208,0.580471403
18610,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.4390625,14,1.64731E+12,79,TRUE,2,"0,0.4","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.706750809,0.706750809,-0.267688309,0.293249191,FALSE,0.267688309,0.659776363
18611,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.6240625,3,1.64731E+12,29,TRUE,3,"0,0","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.59847931,0.59847931,0.02558319,0.40152069,TRUE,-0.02558319,0.587413672
18612,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.4790625,16,1.64731E+12,112,FALSE,4,"0,0","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.374941292,0.374941292,0.104121208,0.374941292,TRUE,0.104121208,0.381446416
18613,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.3640625,1,1.64731E+12,4,FALSE,5,"0,0","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.512700546,0.512700546,-0.148638046,0.512700546,FALSE,-0.148638046,0.50572519
18614,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.4540625,15,1.64731E+12,101,TRUE,6,"0,0","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.714818499,0.714818499,-0.260755999,0.285181501,FALSE,0.260755999,0.695937533
18615,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.3740625,11,1.64731E+12,125,TRUE,7,"0,0","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.433918025,0.433918025,-0.059855525,0.566081975,FALSE,0.059855525,0.432483521
18616,3X3OR7WPZ00QXIKGPCRD8RINTK28LS,1.64731E+12,point,768,1366,0.2340625,11,1.64731E+12,124,FALSE,8,"0,0","Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.566081975,0.566081975,-0.332019475,0.566081975,FALSE,-0.332019475,0.567516479
