"","participantId","task","id","rsp_time","status","data.select.x","data.select.y","pixel.select.x","pixel.select.y","param.mu","param.sigma","param.lambda","param.p","param.q","pixelToMM","dist_to_screen","data.ans.y","data.ans.x","va.resp.x","va.resp.y","va.ans.x","va.ans.y"
"59","67f9736009c0ccdd5034f448","task3","9",8.939,"completed",-0.18,0.493801313782099,307.87,214.948481056071,-0.24,0.9,0.06,2.65,49.47,5.88235294117647,559.39971590409,0.5,-0.164370429832409,4.4877434524435,3.39524826557984,4.502280683863,3.43784339473423
"60","67f9736009c0ccdd5034f448","task3","10",11.496,"completed",0.77,0.469872297512036,358.695,224.400442482746,0.11,1.09,0.45,4.47,12.32,5.88235294117647,559.39971590409,0.5,0.872284796348892,5.37106868574325,3.23080802303944,5.46613851515388,3.43784339473423
"61","67fbed03e8c70e38014c41b3","task3","1",45.229,"completed",-0.33,0.515893869119807,299.845,206.221921697676,-1.87,1.33,0.78,3.39,47.39,5.08235294117647,588.991385699668,0.5,-0.392524800498733,4.77933647662986,3.89886951140807,4.71542051243298,3.7788399915673
"62","67fbed03e8c70e38014c41b3","task3","2",33.573,"completed",-0.53,0.485913078551731,289.145,218.064333972066,-0.65,0.8,0.28,2.15,1.14,5.08235294117647,588.991385699668,0.5,-0.516109006743407,4.57487625016766,3.67244948631427,4.58907798517421,3.7788399915673
"63","67fbed03e8c70e38014c41b3","task3","3",11.216,"completed",1.15,0.483318252413856,379.025,219.089290296527,0.61,0.82,0.5,2.99,26.46,5.08235294117647,588.991385699668,0.5,1.18937151424232,6.29131026893571,3.65285154417872,6.33150477122931,3.7788399915673
"64","67fbed03e8c70e38014c41b3","task3","4",15.485,"completed",0.98,0.480770244360508,369.93,220.095753477599,0.34,1.14,0.4,4.26,34.46,5.08235294117647,588.991385699668,0.5,1.04823583300456,6.11773906857966,3.63360699695015,6.18741175644596,3.7788399915673
"65","67fbed03e8c70e38014c41b3","task3","5",21.219,"completed",-1.67,0.496663524030308,228.155,213.817908008028,-1.32,0.95,-0.25,2.94,32.13,5.08235294117647,588.991385699668,0.5,-1.66085557567287,3.40893518307524,3.7536420684395,3.41829082447444,3.7788399915673
"66","67fbed03e8c70e38014c41b3","task3","6",15.942,"completed",-1.47,0.496221721885041,238.855,213.992419855409,-1.23,1.13,-0.13,4,12.06,5.08235294117647,588.991385699668,0.5,-1.45681436483835,3.61354417267306,3.75030543793174,3.6270328745518,3.7788399915673
"67","67fbed03e8c70e38014c41b3","task3","7",17.243,"completed",0.3,0.495435878123203,333.55,214.302828141335,0.35,1.64,-0.01,4.64,47.65,5.08235294117647,588.991385699668,0.5,0.323860642625175,5.42318114210242,3.74437047984642,5.44755966128577,3.7788399915673
"68","67fbed03e8c70e38014c41b3","task3","8",9.327,"completed",0.82,0.497289168911839,361.37,213.570778279823,1.24,0.52,-0.54,3.57,35.11,5.08235294117647,588.991385699668,0.5,0.824231021741636,5.95435225266683,3.75836712694833,5.9586731498489,3.7788399915673
"69","67fbed03e8c70e38014c41b3","task3","9",11.789,"completed",0.8,0.494758893417516,360.3,214.570237100081,0.46,0.97,0.3,2.01,13.56,5.08235294117647,588.991385699668,0.5,0.812677006285033,5.93392718311621,3.7392576460865,5.94687366374396,3.7788399915673
"70","67fbed03e8c70e38014c41b3","task3","10",30.462,"completed",1.47,0.486509868113854,396.145,217.828602095028,0.85,0.8,0.53,4.64,5.63,5.08235294117647,588.991385699668,0.5,1.50338935569695,6.61795351950218,3.67695682820034,6.65202993277549,3.7788399915673
"71","558d8d71fdf99b534f79b352","task3","1",25.368,"completed",1.17,0.502796355981319,380.095,211.395439387379,1.3,1.33,-0.07,3.54,48.8,4.4,605.861784740424,0.5,1.15871128511052,7.08567688520779,4.26662876906156,7.07274576512221,4.24292119707688
"72","558d8d71fdf99b534f79b352","task3","2",20.566,"completed",1.17,0.506356464029356,380.095,209.989196708404,0.83,0.97,0.23,2.98,38.85,4.4,605.861784740424,0.5,1.1521218586395,7.08567688520779,4.29681092008164,7.06519755372987,4.24292119707688
"73","558d8d71fdf99b534f79b352","task3","3",13.91,"completed",0.24,0.500404427848625,330.34,212.340250999793,0.57,0.63,-0.34,4.06,33.44,4.4,605.861784740424,0.5,0.239211409322273,6.01979502276219,4.24634996844424,6.01889074274645,4.24292119707688
"74","558d8d71fdf99b534f79b352","task3","4",13.001,"completed",-1.1,0.506714805114198,258.65,209.847651979892,-1.08,0.95,-0.03,2.15,16.41,4.4,605.861784740424,0.5,-1.1162124969699,4.48222053594625,4.29984885803723,4.4636065998508,4.24292119707688
"75","558d8d71fdf99b534f79b352","task3","5",13.153,"completed",0.97,0.500491864222972,369.395,212.305713631926,0.62,0.6,0.37,4.68,11.04,4.4,605.861784740424,0.5,0.969070743116412,6.85655225086658,4.24709125995881,6.85548754310419,4.24292119707688
"76","558d8d71fdf99b534f79b352","task3","6",10.776,"completed",0.55,0.505058679442014,346.925,210.501821620405,0.67,1.17,-0.08,3.1,40.26,4.4,605.861784740424,0.5,0.532624244242273,6.37521397482369,4.28580853343508,6.35529563339278,4.24292119707688
"77","558d8d71fdf99b534f79b352","task3","7",13.457,"completed",-0.88,0.502882573987861,270.42,211.361383274795,-1.81,1.28,0.53,2.63,49.79,4.4,605.861784740424,0.5,-0.890360351984255,4.7347837350611,4.2673597215587,4.72289091375147,4.24292119707688
"78","558d8d71fdf99b534f79b352","task3","8",12.296,"completed",0.63,0.508942584016469,351.205,208.967679313495,1.51,1.16,-0.59,2.55,36.21,4.4,605.861784740424,0.5,0.60124938042816,6.46691534148638,4.31873534831117,6.43396040096026,4.24292119707688
"79","558d8d71fdf99b534f79b352","task3","9",19.112,"completed",0.65,0.503079212299154,352.275,211.283711141834,1.82,1.39,-0.62,2.81,48.2,4.4,605.861784740424,0.5,0.63781395482822,6.48983939226032,4.2690268112812,6.47587177812449,4.24292119707688
"80","558d8d71fdf99b534f79b352","task3","10",10.707,"completed",-1.38,0.50760640884926,243.67,209.495468504542,-0.89,0.77,-0.53,2.15,21.9,4.4,605.861784740424,0.5,-1.39534624128121,4.16071376158696,4.30740765477086,4.14309067620466,4.24292119707688
"81","667433338e6cc9e53c828774","task3","1",17.023,"completed",1.66,0.503817143177693,406.31,210.992228444811,1.45,0.93,0.15,2.9,23.42,4.08235294117647,617.632730558268,0.5,1.6498136553297,8.08329853126465,4.51987592719593,8.07097615614126,4.48566643805563
"82","667433338e6cc9e53c828774","task3","2",28.369,"completed",-1.56,0.502533621174965,234.04,211.499219635889,-1.72,0.69,0.18,2.09,18.12,4.08235294117647,617.632730558268,0.5,-1.56442947500768,4.18024079437518,4.50837300792569,4.1748629219576,4.48566643805563
"83","667433338e6cc9e53c828774","task3","3",12.226,"completed",-0.29,0.501695236835157,301.985,211.830381450113,-0.76,0.65,0.55,2.43,27.17,4.08235294117647,617.632730558268,0.5,-0.293015526749778,5.72130883490116,4.50085936158859,5.71765190710355,4.48566643805563
"84","667433338e6cc9e53c828774","task3","4",33.518,"completed",-0.57,0.498799050159615,287.005,212.974375186952,-0.65,0.82,0.07,2.94,28.17,4.08235294117647,617.632730558268,0.5,-0.567156939833019,5.38170422424741,4.47490328058341,5.38515298247624,4.48566643805563
"85","667433338e6cc9e53c828774","task3","5",12.467,"completed",-0.52,0.499219115640452,289.68,212.808449322022,-0.2,1.05,-0.2,3.54,44.01,4.08235294117647,617.632730558268,0.5,-0.517518124990928,5.44235501589514,4.47866800211212,5.44536549036577,4.48566643805563
"86","667433338e6cc9e53c828774","task3","6",16.62,"completed",-1.14,0.507491003998131,256.51,209.541053420738,-1.9,0.71,0.74,3.34,19.38,4.08235294117647,617.632730558268,0.5,-1.15560031318564,4.69008019548814,4.55280054923471,4.67114612017789,4.48566643805563
"87","667433338e6cc9e53c828774","task3","7",46.748,"completed",0.54,0.482370300364785,346.39,219.46373135591,-0.29,1.32,0.45,3.88,21.48,4.08235294117647,617.632730558268,0.5,0.610939367897779,6.72738037611801,4.32765762159528,6.81332247694249,4.48566643805563
