"","participantId","task","id","rsp_time","status","data.select.x","data.select.y","pixel.select.x","pixel.select.y","param.mu","param.sigma","param.lambda","param.p","param.q","pixelToMM","dist_to_screen","data.select.left_area","data.ans.x","pixel.med.x","pixel.mod.x","phy.select.x","phy.med.x","phy.mod.x","va.select.x","va.med.x","va.mod.x"
"69","67fbed03e8c70e38014c41b3","task1","9",7.46,"completed",1.21,0.283071304563033,382.235,298.186834697602,1.52,1.15,-0.36,4.07,14.19,5.08235294117647,588.991385699668,0.592235982334377,0.883829953268248,364.784902499851,398.82,65.3703125,61.9368442418689,68.6335648148148,6.35256383500866,6.01953627531047,6.66898193836589
"70","67fbed03e8c70e38014c41b3","task1","10",9.278,"completed",-0.48,0.337524006831907,291.82,276.678017301397,-1.37,1,0.82,4.76,3.2,5.08235294117647,588.991385699668,0.391426873695387,-0.156497743832092,309.127370704983,244.205,47.5803240740741,50.9857095137119,38.2116319444444,4.62599409005854,4.95668341518962,3.71584010636865
"71","558d8d71fdf99b534f79b352","task1","1",13.092,"completed",-0.41,0.522504891192248,295.565,203.610567979062,-0.26,0.64,-0.33,3.48,43.69,4.4,605.861784740424,0.586599159559883,-0.576044796110672,286.681603408079,303.59,55.8102272727273,53.7912735018361,57.6340909090909,5.27419330283738,5.08365250718677,5.44629721210209
"72","558d8d71fdf99b534f79b352","task1","2",21.883,"completed",0.24,0.495468258280819,330.34,214.290037979076,0.56,0.65,-0.49,4.69,6.57,4.4,605.861784740424,0.58638340034775,0.065429121962509,321.000458024994,347.46,63.7136363636364,61.5910131874987,67.6045454545454,6.01979502276219,5.81959581143854,6.38667709508285
"73","558d8d71fdf99b534f79b352","task1","3",18.167,"completed",1.24,0.437508186449789,383.84,237.184266352334,1.58,0.8,-0.51,3.09,48.25,4.4,605.861784740424,0.60570529656769,0.996331262305367,370.803722533337,402.03,75.8727272727273,72.9099369393948,80.0068181818182,7.1658572010356,6.88672113253183,7.55520310201385
"74","558d8d71fdf99b534f79b352","task1","4",16.816,"completed",1.34,0.419889476550992,389.19,244.143656762358,1.66,0.75,-0.42,4.93,26,4.4,605.861784740424,0.575614961253709,1.15982047869672,379.550395610274,406.31,77.0886363636364,74.8978171841533,80.9795454545454,7.28038830361873,7.0740163442679,7.64678885440243
"75","558d8d71fdf99b534f79b352","task1","5",18.77,"completed",-1.03,0.410657190404088,262.395,247.790409790385,-0.7,0.77,-0.22,4.55,19.65,4.4,605.861784740424,0.47440210866826,-0.967681687436367,265.729029722154,280.05,48.2715909090909,49.0293249368533,52.2840909090909,4.56258639708708,4.63412926200255,4.94139223387599
"76","558d8d71fdf99b534f79b352","task1","6",18.779,"completed",-0.55,0.186000504734456,288.075,336.52980062989,-0.87,1.78,0.18,3.54,26.51,4.4,605.861784740424,0.469529922207297,-0.386135245296201,296.841764376653,270.955,54.1079545454545,56.1004009946939,50.2170454545454,5.11354148670358,5.30157636627893,4.74626280551116
"77","558d8d71fdf99b534f79b352","task1","7",16.576,"completed",2.4,0.490419557047613,445.9,216.284274966193,1.65,0.69,0.72,3.29,22.71,4.4,605.861784740424,0.52286650846193,2.35360898865675,443.418080893136,405.775,89.9772727272727,89.4132002029855,80.8579545454545,8.49347827914167,8.44042516994513,7.63534116797792
"78","558d8d71fdf99b534f79b352","task1","8",11.856,"completed",-0.34,0.415214921516574,299.31,245.990106000953,-1.42,0.78,0.8,3.68,40.11,4.4,605.861784740424,0.573519238500243,-0.513949864453432,290.003682251741,241.53,56.6613636363636,54.5462914208503,43.5295454545454,5.35451147093188,5.1549114331712,4.11477875400706
"79","558d8d71fdf99b534f79b352","task1","9",20.106,"completed",0.32,0.196869139293748,334.62,332.23668997897,0.27,1.59,0.1,4.78,24.74,4.4,605.861784740424,0.459843456989062,0.52397612489498,345.532722681881,331.945,64.6863636363636,67.1665278822458,64.0784090909091,6.11152741676997,6.34538189569679,6.0541955818214
"80","558d8d71fdf99b534f79b352","task1","10",11.105,"completed",-0.47,0.621110018199362,292.355,164.661542811252,-0.42,0.53,-0.21,3.68,19.82,4.4,605.861784740424,0.573944189074567,-0.589090640448228,285.98365073602,295.03,55.0806818181818,53.63264789455,55.6886363636364,5.20534502805001,5.06868085005752,5.26271885363746
"81","667433338e6cc9e53c828774","task1","1",13.518,"completed",-0.1,0.330773553027866,312.15,279.344446553993,-0.77,0.97,0.55,4.53,48.93,4.08235294117647,617.632730558268,0.44704217773654,0.0603718329329337,320.729893061912,276.305,64.2154178674352,66.3171207788545,55.4349423631124,5.95169791478868,6.14612324904009,5.13907121955607
"82","667433338e6cc9e53c828774","task1","2",11.673,"completed",-0.08,0.202862008745544,313.22,329.86950654551,-1.59,1.58,0.64,4.69,20.7,4.08235294117647,617.632730558268,0.488072585500876,-0.0211653293087672,316.367654881981,232.435,64.4775216138329,65.2485609941452,44.6886887608069,5.97594662800225,6.04727676709176,4.14381711839544
"83","667433338e6cc9e53c828774","task1","3",10.503,"completed",1.14,0.743711123361028,378.49,116.234106272394,1.06,0.55,0.58,2.39,7.52,4.08235294117647,617.632730558268,0.269568610024368,1.45834339949502,395.521371872983,374.21,80.4658501440922,84.6378000265233,79.4174351585014,7.45402390722287,7.83932097612691,7.35717150028283
"84","667433338e6cc9e53c828774","task1","4",12.553,"completed",-0.58,0.255049568601043,286.47,309.255420402588,-0.71,1.34,0,3.06,35.21,4.08235294117647,617.632730558268,0.533160921535985,-0.71,279.515,279.515,57.9249279538905,56.2212536023055,56.2212536023055,5.3695737027282,5.21186606189603,5.21186606189603
"85","667433338e6cc9e53c828774","task1","5",38.488,"completed",1.21,0.491129696476671,382.235,216.003769891715,1.03,0.76,0.58,2.69,36.06,4.08235294117647,617.632730558268,0.29853650314524,1.62756124100646,404.574526393846,372.605,81.3832132564842,86.8554315373974,79.0242795389049,7.53876102052447,8.04405686112251,7.32084912636993
"86","667433338e6cc9e53c828774","task1","6",12.814,"completed",-1.25,0.382248195509412,250.625,259.011962773782,-1.18,0.87,-0.2,3.64,8.82,4.08235294117647,617.632730558268,0.573242438763412,-1.44166897650839,240.370709756801,254.37,49.1444524495677,46.6325946090147,50.0618155619597,4.55656796294108,4.32390084603007,4.6415317477548
"87","667433338e6cc9e53c828774","task1","7",11.472,"completed",1.56,0.395162487401197,400.96,253.910817476527,1.78,1.05,-0.57,2.22,12.04,4.08235294117647,617.632730558268,0.69769111502472,1.04301787714975,373.301456427512,412.73,85.9700288184438,79.1948812574596,88.8531700288185,7.96232092303198,7.33661064776629,8.22844781713534
"88","667433338e6cc9e53c828774","task1","8",12.415,"completed",0.48,0.549415495174031,343.18,192.980879406258,0.31,0.58,0.28,4.42,19.03,4.08235294117647,617.632730558268,0.453411204408835,0.564819928079825,347.717866152271,334.085,71.8164265129683,72.9280075589136,69.5885446685879,6.65468525542586,6.75745025560425,6.44868681665996
"89","667433338e6cc9e53c828774","task1","9",9.735,"completed",1.95,0.409396909661503,421.825,248.288220683706,1.83,0.76,0.12,4.97,40.26,4.08235294117647,617.632730558268,0.48912778071395,1.9765567444139,423.245785826144,415.405,91.0810518731989,91.4290829833493,89.5084293948127,8.43403059480214,8.46614106593272,8.28891890766093
"90","667433338e6cc9e53c828774","task1","10",14.08,"completed",1.6,0.674914137372593,403.1,143.408915737826,1.66,0.58,-0.78,2.65,30.97,4.08235294117647,617.632730558268,0.849499039110537,1.06812518859079,374.644697589608,406.31,86.4942363112392,79.5239172769932,87.2805475504323,8.01071411483899,7.36700878375809,8.08329853126465
"91","66803a896850f7964079120f","task1","1",8.017,"completed",-0.84,0.635543851425824,272.56,158.960178686799,-0.97,0.59,0.49,2.99,3.92,5.44705882352941,517.438787133982,0.337693729506683,-0.581974168318812,286.364381994944,265.605,40.858747300216,43.3930290919443,39.5819114470842,4.52192329808437,4.80207890174316,4.38075305229665
"92","66803a896850f7964079120f","task1","2",5.008,"completed",0.84,0.570755222510498,362.44,184.551687108353,0.7,0.64,0.45,2.7,40.89,5.44705882352941,517.438787133982,0.35501846815685,1.09687449084656,376.182785260291,354.95,57.3593952483801,59.8823687842866,55.9843412526998,6.34488973604988,6.62336386450479,6.19308584643536
"93","66803a896850f7964079120f","task1","3",6.336,"completed",-1.18,0.278453614213152,254.37,300.010822385805,-1.45,1.12,0.16,4.98,18.38,5.44705882352941,517.438787133982,0.495184086330346,-1.16270471294501,255.295297857442,239.925,37.5193304535637,37.6892015505023,34.8674406047516,4.15268088837727,4.1714658404099,3.85939712987802
