participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.ans.x,data.ans.y,data.left.grad,data.right.grad,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y,flat
5c8f2ac8d7ecab0018d529aa,task2,1,6.859,completed,-0.97,0.2933646552648197,265.605,294.12096117039624,-0.99,1.09,-0.1,4.15,33.83,-0.99,0.2933646582864137,0.05819014025828483,-0.12512591707813236,3.835294117647059,663.9351545597088,56.216027607361966,30.213859817534722,4.848393517792089,2.6069232525114594,264.535,294.1209599768666,55.93703987730062,30.213860128731106,4.824360504060717,2.606923279352956,0.0916580286682086
5c8f2ac8d7ecab0018d529aa,task2,2,4.637,completed,1.51,0.5326589423407443,398.285,199.599717775406,1.51,0.69,-0.15,2.49,30.17,1.51,0.5326589423407496,0.4383057130845819,-0.4595299372442732,3.835294117647059,663.9351545597088,90.81050613496933,54.85896929168862,7.8245140964990005,4.731487626174621,398.28499999999997,199.5997177754039,90.81050613496932,54.85896929168917,7.824514096498998,4.731487626174669,0.4489178251644276
5c8f2ac8d7ecab0018d529aa,task2,3,6.737,completed,-1.42,0.22285736414855276,241.53,321.9713411613217,-1.41,1.47,0.72,4.56,15.08,-1.41,0.22285736511819038,0.032498873371904775,-0.0014788767749943739,3.835294117647059,663.9351545597088,49.93880368098159,22.952257672661524,4.307551471098517,1.980519544796619,242.065,321.9713407783148,50.078297546012266,22.95225777252528,4.319572358763222,1.9805195534120124,0.016988875073449573
5c8f2ac8d7ecab0018d529aa,task2,4,5.063,completed,-1.26,0.31684656278049456,250.09,284.84560770170464,-1.38,1.1,0.76,3.63,17.07,-1.38,0.31684907845798427,3.0851017149809903e-6,-0.019729380513888655,3.835294117647059,663.9351545597088,52.17070552147239,32.63228020047578,4.499874112650323,2.815509421141092,243.67000000000002,284.84461400909623,50.4967791411043,32.632539292106806,4.355634450024295,2.815531766541862,0.009866232807801818
5c8f2ac8d7ecab0018d529aa,task2,5,4.242,completed,1.57,0.3122223638062833,401.495,286.67216629651807,1.5,1.09,-0.05,3.1,46.38,1.5,0.312238404664397,0.11983659560869614,-0.1549867533767625,3.835294117647059,663.9351545597088,91.64746932515337,32.15603026011032,7.89640239526129,2.77443480564832,397.75,286.66583015756316,90.67101226993864,32.15768232088077,7.8125321121057585,2.7745772903922523,0.1374116744927293
5c8f2ac8d7ecab0018d529aa,task2,6,3.257,completed,0.13,0.3880799212289754,324.45500000000004,256.70843111455474,-0.11,0.84,-0.21,3.8,19.57,-0.11,0.38922033814284007,0.16954794257387792,-0.4947433283302139,3.835294117647059,663.9351545597088,71.56035276073621,39.96866059896578,6.169493853042809,3.4481444985657816,311.615,256.2579664335782,68.2125,40.08611304645967,5.881381570829025,3.4582711203552514,0.3321456354520459
5c8f2ac8d7ecab0018d529aa,task2,7,8.093,completed,-1.26,0.6147361859125873,250.09,167.17920656452802,-1.21,0.67,-0.61,2.32,11.16,-1.21,0.6149901148787963,0.3882510431723715,-0.002720699183982591,3.835294117647059,663.9351545597088,52.17070552147239,63.312170067531035,4.499874112650323,5.459531704660288,252.765,167.07890462287546,52.86817484662576,63.33832241428094,4.559969787997116,5.461783459221785,0.19548587117817706
5c8f2ac8d7ecab0018d529aa,task2,8,3.955,completed,0.16,0.22499301092257123,326.06,321.12776068558435,-0.27,1.42,-0.07,4.16,24.76,-0.27,0.22521959703552488,0.01727775113751553,-0.03048697951427046,3.835294117647059,663.9351545597088,71.97883435582821,23.172209637194264,6.205502474114427,1.9994950711097617,303.055,321.03825917096765,65.9805981595092,23.195545921680214,5.689265135902284,2.001508314637208,0.023882365325892996
5c8f2ac8d7ecab0018d529aa,task2,9,3.093,completed,-1.65,0.20998295706732992,229.225,327.05673195840467,-1.5,1.63,0.35,3.25,21.11,-1.5,0.2100601372315313,0.09953259576703773,-0.010918613926940513,3.835294117647059,663.9351545597088,46.73044478527607,21.626312219434364,4.031045409629929,1.8661263365894603,237.25,327.0262457935451,48.8228527607362,21.634261066100198,4.211380977320283,1.8668121182455997,0.05522560484698912
5c8f2ac8d7ecab0018d529aa,task2,10,3.902,completed,-0.2,0.25584621153633946,306.8,308.9407464431459,-0.03,1.24,0.55,4.9,47.99,-0.03,0.2559002072417593,0.4451811116134601,-0.0036327061264641784,3.835294117647059,663.9351545597088,66.95705521472392,26.34980537525337,5.773320078609623,2.273617404587375,315.895,308.91941813950507,69.32845092024539,26.355366436018617,5.9774274481172105,2.274097119913276,0.22440690886996212
