participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.select.slope,data.ans.slope,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,data.ans.x,data.ans.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y
67f441842da280dba751a76b,task4,10,4.445,completed,1.04,0.5843491512972271,373.14,179.1820852375953,0.55,0.69,0.3,3.75,10.72,0.472266481738728,0.47987059926367226,6.258823529411765,470.29261815181286,51.62951127819549,36.87880217068496,6.283720739331904,4.49064660131832,0.55,0.35,346.925,271.75,47.44102443609023,22.088815789473685,5.774849322810518,2.6905872789728
67f9736009c0ccdd5034f448,task4,1,38.939,completed,0.61,0.4075732348428812,350.13500000000005,249.008572237062,1.29,1.29,-0.17,3.3,17.39,0.2580728714755784,0.2617886932419497,5.882352941176471,559.3997159040903,51.02295,27.36854271969946,5.2223399768689704,2.802628009313176,1.29,0.585,386.515,178.925,57.20754999999999,39.28274999999999,5.854309363660544,4.021831770200049
67f9736009c0ccdd5034f448,task4,2,8.996,completed,-1.1,0.6940896890632209,258.65,135.83457282002774,-1.54,0.87,-0.02,2.43,17.34,0.3964216639374843,0.42763810018756004,5.882352941176471,559.3997159040903,35.470499999999994,46.60812262059528,3.6318027619946975,4.771016885133155,-1.54,0.51,235.11,208.54999999999998,31.4687,34.2465,3.2222905910306334,3.5065577688216867
67f9736009c0ccdd5034f448,task4,3,6.214,completed,0.11,0.5844424431740887,323.385,179.14523494623498,0.39,1.27,-0.33,2.6,46.2,0.2870638460823911,0.2879525995113326,5.882352941176471,559.3997159040903,46.475449999999995,39.24531005914005,4.7574515420012125,4.018001750764693,0.39,0.665,338.365,147.325,49.02205,44.65475,5.017809351860537,4.57127758336462
67f9736009c0ccdd5034f448,task4,4,6.48,completed,1.08,0.723781149951016,375.28,124.10644576934872,1.22,0.63,-0.59,4.71,39.64,0.5087028151258933,0.5087067632136295,5.882352941176471,559.3997159040903,55.29759999999999,48.60190421921071,5.659178590372065,4.974858230441629,1.22,0.7949999999999999,382.77,95.97500000000002,56.570899999999995,53.384249999999994,5.789269492081856,5.463667516144361
67f9736009c0ccdd5034f448,task4,5,9.264,completed,1.31,0.6660214420810551,387.585,146.92153037798326,0.52,0.71,0.47,2.58,13.56,0.4442346142628541,0.5336247675613678,5.882352941176471,559.3997159040903,57.38944999999999,44.72333983574285,5.87289149256924,4.578291616085943,0.52,0.265,345.32,305.325,50.20439999999999,17.79475,5.138672307932981,1.822450175564769
67f9736009c0ccdd5034f448,task4,6,7.114,completed,1.42,0.7517964395744258,393.47,113.04040636810184,1.89,1.4,-0.73,3.98,26.92,0.24081797313672104,0.24086885743003367,5.882352941176471,559.3997159040903,58.3899,50.48313091742268,5.975087649879763,5.167163265957787,1.89,0.865,418.615,68.32499999999999,62.66455,58.08475,6.411634826097375,5.943917520274102
67f9736009c0ccdd5034f448,task4,7,10.409,completed,0.04,0.4167004688747419,319.64,245.40331479447696,-0.45,0.7,0.65,3.46,43.04,0.4894049467520805,0.4943855087863997,5.882352941176471,559.3997159040903,45.83879999999999,27.981436484938914,4.692354304510479,2.865364457296214,-0.45,0.17500000000000002,293.425,340.875,41.38225,11.751249999999999,4.236591132476809,1.203562053372846
67f9736009c0ccdd5034f448,task4,8,6.27,completed,1.02,0.5845991933983685,372.07,179.08331860764443,0.03,0.96,0.61,2.43,32.07,0.354990886935781,0.4100983897397237,5.882352941176471,559.3997159040903,54.75189999999999,39.25583583670044,5.603420857764858,4.01907851439448,0.03,0.19500000000000006,319.105,332.97499999999997,45.74785,13.094250000000004,4.683054450797859,1.341100086765662
67f9736009c0ccdd5034f448,task4,9,13.439,completed,-0.48,0.6856735099335814,291.81999999999994,139.15896357623535,0.03,0.93,-0.76,3.44,16.38,0.3798512969055697,0.3813760689476731,5.882352941176471,559.3997159040903,41.10939999999999,46.04297619203999,4.208682761167271,4.713231580083526,0.03,0.88,319.105,62.39999999999998,45.74785,59.092,4.683054450797859,6.046801627377227
67f9736009c0ccdd5034f448,task4,10,9.643,completed,2.08,0.6092955443163826,428.78,169.32825999502887,1.4,0.68,0.44,3.82,15.69,0.47036549533115946,0.48793465826962684,5.882352941176471,559.3997159040903,64.39259999999999,40.914195800845086,6.588059195056453,4.188716058011951,1.4,0.28,392.4,299.4,58.20799999999999,18.802000000000003,5.956507233180921,1.9255888345344636
67fbed03e8c70e38014c41b3,task4,1,61.815,completed,-0.17,0.569155021450642,308.40500000000003,185.1837665269964,0.2,0.69,-0.6,2.43,3.49,0.6040779149697854,0.632202241595035,5.08235294117647,588.9913856996682,50.8435763888889,44.234675567604874,4.942882800502785,4.301030560887781,0.2,0.8,328.2,94,54.738425925925924,62.17592592592593,5.321005401805932,6.042729247502316
67fbed03e8c70e38014c41b3,task4,2,7.598,completed,1.97,0.6004961182268581,422.8949999999999,172.80403330039104,1.84,0.64,-0.05,3.03,2.49,0.5792073306941528,0.5812456819415559,5.08235294117647,588.9913856996682,73.37054398148148,46.67050270709899,7.128116157593417,4.537630102814266,1.84,0.5249999999999999,415.94,202.62500000000003,72.00208333333333,40.802951388888886,6.99550026709338,3.9676346111051646
67fbed03e8c70e38014c41b3,task4,3,5.077,completed,-0.04,0.3639923527510712,315.36,266.22302066332685,-0.24,0.58,0.55,2.25,26.82,0.6870385708963931,0.6985010656154493,5.08235294117647,588.9913856996682,52.21203703703704,28.289451952817636,5.075749384603405,2.7514064704679355,-0.24,0.22499999999999998,304.66,321.125,50.10671296296297,17.486979166666668,4.871333723728194,1.7009697228537863
67fbed03e8c70e38014c41b3,task4,4,11.535,completed,-0.12,0.4664009589107425,311.08000000000004,225.7716212302567,-0.77,1.27,0.4,4.09,21.71,0.25560169008737305,0.25609927734388394,5.08235294117647,588.9913856996682,51.36990740740742,36.24863934126894,4.9939869262110275,3.5250751213051883,-0.77,0.30000000000000004,276.305,291.5,44.52760416666667,23.315972222222225,4.329485616651071,2.2678300935066145
67fbed03e8c70e38014c41b3,task4,5,8.478,completed,0.15,0.4844732606253904,325.52500000000003,218.63306205297081,-0.8,1,0.66,4.51,5.1,0.328474095265452,0.3315917281133447,5.08235294117647,588.9913856996682,54.21209490740742,37.653216957170095,5.2699143462037235,3.661575000614091,-0.8,0.16999999999999993,274.7,342.85,44.21180555555556,13.212384259259256,4.298808947752254,1.285217630916348
67fbed03e8c70e38014c41b3,task4,6,7.703,completed,0.5,0.47069737589356153,344.25,224.0745365220432,-0.41,1.19,0.56,4.1,49.66,0.27405136062050023,0.2758435528798733,5.08235294117647,588.9913856996682,57.89641203703704,36.58255647135724,5.627506574288035,3.557526828741778,-0.41,0.21999999999999997,295.565,323.1,48.3171875,17.098379629629626,4.6975559667723035,1.6631757641645262
67fbed03e8c70e38014c41b3,task4,7,23.332,completed,0.41,0.5908647908115944,339.435,176.6084076294202,0.38,0.7,-0.15,3.75,1.38,0.5288243820771531,0.5288268879367556,5.08235294117647,588.9913856996682,56.94901620370371,45.92195683217427,5.535564483685973,4.46492551667379,0.38,0.575,337.83,182.87500000000003,56.633217592592594,44.68894675925926,5.504915529181194,4.345158192570696
